timestamp,p_in_sp,q_in_sp,q_in_up,q_in_dn,q_in_63,p_actual_hv,q_actual_hv
0.007,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.122,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.224,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.33,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.435,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.547,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.655,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.757,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.859,0.75,0.0,0.0,0.0,0.0,0.75,0.0
0.964,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.065,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.172,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.275,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.379,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.486,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.597,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.706,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.808,0.75,0.0,0.0,0.0,0.0,0.75,0.0
1.913,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.015,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.118,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.225,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.327,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.43,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.537,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.646,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.747,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.857,0.75,0.0,0.0,0.0,0.0,0.75,0.0
2.958,0.75,0.0,0.0,0.0,0.0,0.75,0.0
3.066,0.75,0.0,0.0,0.0,0.0,0.75,0.0
