timestamp,p_in_sp,q_in_sp,q_in_up,q_in_dn,q_in_63,q_in_90,p_actual_hv,q_actual_hv
0.001,0.75,0.0,0.0,0.0,0.0,0.0,0.749,-0.007
0.111,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.007
0.221,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.007
0.333,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.007
0.436,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.007
0.541,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.007
0.644,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.008
0.752,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.01
0.853,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.012
0.973,0.75,-0.246,-0.258,-0.234,-0.153,-0.221,0.749,-0.013
1.086,0.75,-0.246,-0.258,-0.234,-0.153,-0.222,0.749,-0.014
1.19,0.75,-0.246,-0.258,-0.234,-0.153,-0.222,0.749,-0.016
1.296,0.75,-0.246,-0.258,-0.234,-0.153,-0.222,0.749,-0.018
1.403,0.75,-0.246,-0.258,-0.234,-0.153,-0.222,0.749,-0.022
1.507,0.75,-0.246,-0.258,-0.234,-0.153,-0.222,0.749,-0.024
1.61,0.75,-0.246,-0.258,-0.234,-0.153,-0.222,0.749,-0.025
1.712,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.028
1.815,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.028
1.921,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.03
2.024,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.032
2.128,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.034
2.231,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.036
2.332,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.039
2.445,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.749,-0.039
2.553,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.041
2.658,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.042
2.766,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.045
2.876,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.047
2.983,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.047
3.094,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.049
3.207,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.05
3.315,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.052
3.417,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.053
3.524,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.054
3.63,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.056
3.736,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.057
3.842,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.061
3.945,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.062
4.054,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.063
4.166,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.064
4.267,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.066
4.368,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.069
4.472,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.07
4.593,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.071
4.7,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.073
4.804,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.075
4.909,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.076
5.016,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.077
5.12,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.079
5.226,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.08
5.34,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.082
5.468,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.082
5.586,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.086
5.691,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.087
5.8,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.088
5.905,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.089
6.007,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.09
6.114,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.09
6.218,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.093
6.327,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.095
6.441,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.096
6.545,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.096
6.654,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.096
6.764,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.098
6.868,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.1
6.989,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.751,-0.102
7.101,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.101
7.215,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.106
7.32,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.106
7.423,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.108
7.533,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.108
7.636,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.11
7.74,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.111
7.848,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.112
7.953,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.112
8.055,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.114
8.159,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.116
8.266,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.116
8.368,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.117
8.485,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.119
8.588,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.12
8.696,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.122
8.798,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.123
8.898,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.123
9.002,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.124
9.104,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.124
9.212,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.126
9.313,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.128
9.418,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.128
9.523,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.129
10.081,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.129
10.192,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.129
10.301,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.129
10.405,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.129
10.516,0.75,-0.247,-0.259,-0.234,-0.154,-0.222,0.75,-0.129
10.624,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.131
10.731,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.135
10.835,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.139
10.938,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.142
11.055,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.143
11.159,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.144
11.264,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.146
11.37,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.146
11.471,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.147
11.574,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.148
11.676,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.148
11.78,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.15
11.895,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.15
12.002,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.151
12.108,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.151
12.216,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.152
12.333,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.154
12.442,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.154
12.553,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.155
12.659,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.155
12.761,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.156
12.866,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.157
12.974,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.158
13.075,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.159
13.187,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.16
13.309,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.16
13.417,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.161
13.525,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.161
13.632,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.162
13.751,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.164
13.858,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.165
13.958,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.165
14.06,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.166
14.165,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.167
14.269,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.167
14.373,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.168
14.479,0.75,-0.246,-0.259,-0.234,-0.153,-0.222,0.75,-0.168
